Title,Date
"The Night Agent: Eyes Only","24-03-23"
"The Night Agent: The Zookeeper","24-03-23"
"The Night Agent: Redial","24-03-23"
"Bastille Day","24-03-23"
"The Night Agent: The Call","23-03-23"
"La chica de nieve: Aflevering 6","22-03-23"
"La chica de nieve: Aflevering 5","22-03-23"
"La chica de nieve: Aflevering 4","22-03-23"
"La chica de nieve: Aflevering 3","21-03-23"
"La chica de nieve: Aflevering 2","21-03-23"
"La chica de nieve: Aflevering 1","21-03-23"
"The Glory: Aflevering 16","19-03-23"
"The Glory: Aflevering 15","19-03-23"
"The Glory: Aflevering 14","18-03-23"
"The Glory: Aflevering 13","18-03-23"
"The Glory: Aflevering 12","18-03-23"
"The Glory: Aflevering 11","18-03-23"
"The Glory: Aflevering 10","17-03-23"
"The Glory: Aflevering 9","17-03-23"
"Entrapment","17-03-23"
"Glass Onion: A Knives Out Mystery","16-03-23"
"Harjunpää: Aflevering 8","12-03-23"
"Harjunpää: Aflevering 7","12-03-23"
"Paradise Highway","12-03-23"
"Luther: The Fallen Sun","10-03-23"
"Harjunpää: Aflevering 6","09-03-23"
"Harjunpää: Aflevering 5","09-03-23"
"Harjunpää: Aflevering 4","09-03-23"
"Harjunpää: Aflevering 3","08-03-23"
"Harjunpää: Aflevering 2","08-03-23"
"Harjunpää: Aflevering 1","08-03-23"
"Entrevías: Seizoen 2: Als ze me ombrengen","07-03-23"
"Entrevías: Seizoen 2: Een oranje polo","07-03-23"
"Entrevías: Seizoen 2: Alles voor de liefde","06-03-23"
"Entrevías: Seizoen 2: De harde waarheid","06-03-23"
"Entrevías: Seizoen 2: Vaders en zonen","05-03-23"
"Entrevías: Seizoen 2: Luisteren naar het hart","05-03-23"
"Entrevías: Seizoen 2: Een vergeten wagon","04-03-23"
"Entrevías: Seizoen 2: Hang je jas op","04-03-23"
"Fauda: Seizoen 4: Aflevering 12","03-03-23"
"Fauda: Seizoen 4: Aflevering 11","03-03-23"
"Fauda: Seizoen 4: Aflevering 10","03-03-23"
"Fauda: Seizoen 4: Aflevering 9","03-03-23"
"Fauda: Seizoen 4: Aflevering 8","03-03-23"
"Fauda: Seizoen 4: Aflevering 7","02-03-23"
"Fauda: Seizoen 4: Aflevering 6","02-03-23"
"Fauda: Seizoen 4: Aflevering 5","02-03-23"
"Fauda: Seizoen 4: Aflevering 4","02-03-23"
"Fauda: Seizoen 4: Aflevering 3","01-03-23"
"Fauda: Seizoen 4: Aflevering 2","01-03-23"
"Fauda: Seizoen 4: Aflevering 1","01-03-23"
"Fauda: Seizoen 3: Aflevering 12","28-02-23"
"Fauda: Seizoen 3: Aflevering 11","28-02-23"
"Fauda: Seizoen 3: Aflevering 10","28-02-23"
"Fauda: Seizoen 3: Aflevering 9","28-02-23"
"Fauda: Seizoen 3: Aflevering 8","27-02-23"
"Fauda: Seizoen 3: Aflevering 7","27-02-23"
"Fauda: Seizoen 3: Aflevering 6","27-02-23"
"Fauda: Seizoen 3: Aflevering 5","27-02-23"
"Fauda: Seizoen 3: Aflevering 4","25-02-23"
"Fauda: Seizoen 3: Aflevering 3","25-02-23"
"Fauda: Seizoen 3: Aflevering 2","25-02-23"
"Fauda: Seizoen 3: Aflevering 1","25-02-23"
"Bushwick","24-02-23"
"Fauda: Seizoen 2: Aflevering 12","23-02-23"
"Fauda: Seizoen 2: Aflevering 11","23-02-23"
"Fauda: Seizoen 2: Aflevering 10","20-02-23"
"Fauda: Seizoen 2: Aflevering 9","20-02-23"
"Fauda: Seizoen 2: Aflevering 8","20-02-23"
"Fauda: Seizoen 2: Aflevering 7","19-02-23"
"Fauda: Seizoen 2: Aflevering 6","19-02-23"
"Fauda: Seizoen 2: Aflevering 5","19-02-23"
"Fauda: Seizoen 2: Aflevering 4","19-02-23"
"Fauda: Seizoen 2: Aflevering 3","19-02-23"
"Fauda: Seizoen 2: Aflevering 2","19-02-23"
"Fauda: Seizoen 2: Aflevering 1","18-02-23"
"Fauda: Seizoen 1: Aflevering 12","18-02-23"
"Fauda: Seizoen 1: Aflevering 11","18-02-23"
"Fauda: Seizoen 1: Aflevering 10","14-02-23"
"Fauda: Seizoen 1: Aflevering 9","14-02-23"
"Fauda: Seizoen 1: Aflevering 8","14-02-23"
"Fauda: Seizoen 1: Aflevering 7","14-02-23"
"Fauda: Seizoen 1: Aflevering 6","13-02-23"
"Fauda: Seizoen 1: Aflevering 5","13-02-23"
"Fauda: Seizoen 1: Aflevering 4","12-02-23"
"Fauda: Seizoen 1: Aflevering 3","12-02-23"
"Fauda: Seizoen 1: Aflevering 2","12-02-23"
"Fauda: Seizoen 1: Aflevering 1","12-02-23"
"Les Combattantes: Miniserie: Aflevering 8","12-02-23"
"Les Combattantes: Miniserie: Aflevering 7","12-02-23"
"Les Combattantes: Miniserie: Aflevering 6","11-02-23"
"Les Combattantes: Miniserie: Aflevering 5","11-02-23"
"Les Combattantes: Miniserie: Aflevering 4","11-02-23"
"Les Combattantes: Miniserie: Aflevering 3","11-02-23"
"Les Combattantes: Miniserie: Aflevering 2","11-02-23"
"47 Ronin","10-02-23"
"Les Combattantes: Miniserie: Aflevering 1","08-02-23"
"Jussi Adler Olsen's Serie Q: Conspiracy of Faith, A","06-02-23"
"Jussi Adler Olsen's Serie Q: Absent One, The","05-02-23"
"Kvinden i buret","05-02-23"
"Close","04-02-23"
"12 Strong","04-02-23"
"Jussi Adler Olsen's Serie Q: Journal 64","01-02-23"
"Ginny & Georgia: Seizoen 1: Pilot","30-01-23"
"The Glory: Aflevering 8","30-01-23"
"The Glory: Aflevering 7","30-01-23"
"The Glory: Aflevering 6","29-01-23"
"The Glory: Aflevering 5","29-01-23"
"The Glory: Aflevering 4","29-01-23"
"The Glory: Aflevering 3","29-01-23"
"The Glory: Aflevering 2","29-01-23"
"The Glory: Aflevering 1","29-01-23"
"Premium Rush","28-01-23"
"The Pale Blue Eye","28-01-23"
"Gladbeck: Aflevering 4","27-01-23"
"Gladbeck: Aflevering 3","27-01-23"
"Eric Clapton - The 1970s Review","26-01-23"
"Narvik","25-01-23"
"Gladbeck: Aflevering 2","24-01-23"
"Gladbeck: Aflevering 1","24-01-23"
"The Pledge","23-01-23"
"Intimidad: Een besluit","21-01-23"
"Intimidad: Morgen","21-01-23"
"Intimidad: Alleen","21-01-23"
"Intimidad: Waarnemend burgemeester","21-01-23"
"Intimidad: De val","21-01-23"
"Intimidad: Prosopagnosie","19-01-23"
"Intimidad: Positie / Onthulling","18-01-23"
"Intimidad: Dodelijke media","18-01-23"
"Anatomy of a Scandal: Miniserie: Aflevering 6","18-01-23"
"Anatomy of a Scandal: Miniserie: Aflevering 5","17-01-23"
"Anatomy of a Scandal: Miniserie: Aflevering 4","17-01-23"
"Anatomy of a Scandal: Miniserie: Aflevering 3","17-01-23"
"Anatomy of a Scandal: Miniserie: Aflevering 2","16-01-23"
"Anatomy of a Scandal: Miniserie: Aflevering 1","16-01-23"
"Wednesday: Seizoen 1: A Murder of Woes","15-01-23"
"Wednesday: Seizoen 1: If You Don't Woe Me by Now","15-01-23"
"Wednesday: Seizoen 1: Quid Pro Woe","15-01-23"
"Wednesday: Seizoen 1: You Reap What You Woe","15-01-23"
"Wednesday: Seizoen 1: Woe What a Night","15-01-23"
"Wednesday: Seizoen 1: Friend or Woe","14-01-23"
"Wednesday: Seizoen 1: Woe Is the Loneliest Number","14-01-23"
"Wednesday: Seizoen 1: Wednesday's Child Is Full of Woe","14-01-23"
"The Stranger: Miniserie: Aflevering 8","13-01-23"
"The Stranger: Miniserie: Aflevering 7","13-01-23"
"Felon","13-01-23"
"Hanna","13-01-23"
"The Stranger: Miniserie: Aflevering 6","12-01-23"
"The Stranger: Miniserie: Aflevering 5","12-01-23"
"The Stranger: Miniserie: Aflevering 4","12-01-23"
"The Stranger: Miniserie: Aflevering 3","11-01-23"
"The Stranger: Miniserie: Aflevering 2","11-01-23"
"The Stranger: Miniserie: Aflevering 1","11-01-23"
"Treason: Miniserie: Aflevering 5","10-01-23"
"Treason: Miniserie: Aflevering 4","10-01-23"
"Treason: Miniserie: Aflevering 3","10-01-23"
"Treason: Miniserie: Aflevering 2","09-01-23"
"Treason: Miniserie: Aflevering 1","09-01-23"
"Totenfrau: To the End","09-01-23"
"Totenfrau: Natural Balance","08-01-23"
"Totenfrau: A Mother's Love","08-01-23"
"Totenfrau: Fear the Living","08-01-23"
"Totenfrau: A Great Artist","08-01-23"
"Totenfrau: Among the Dead","08-01-23"
"Red Notice","06-01-23"
"Emily in Paris: Seizoen 3: Charade","02-01-23"
"Emily in Paris: Seizoen 3: Love Is in the Air","02-01-23"
"The Karate Kid","28-12-22"
"Emily in Paris: Seizoen 3: Fashion Victim","27-12-22"
"Emily in Paris: Seizoen 3: How to Lose a Designer in 10 Days","27-12-22"
"Emily in Paris: Seizoen 3: Ex-en-Provence","27-12-22"
"Emily in Paris: Seizoen 3: Ooo La La Liste","27-12-22"
"Emily in Paris: Seizoen 3: Live From Paris, It’s Emily Cooper","27-12-22"
"Emily in Paris: Seizoen 3: Coo D’état","27-12-22"
"Green Book","25-12-22"
"Beethoven","23-12-22"
"Emily in Paris: Seizoen 3: What's It All About...","22-12-22"
"Emily in Paris: Seizoen 3: I Have Two Lovers","22-12-22"
"The Recruit: Seizoen 1: W.T.F.I.O.H.","22-12-22"
"The Recruit: Seizoen 1: I.M.F.T.B.S.","21-12-22"
"The Recruit: Seizoen 1: I.C.I.N.C.","21-12-22"
"The Recruit: Seizoen 1: T.S.L.A.Y.P.","21-12-22"
"The Recruit: Seizoen 1: I.Y.D.I.A.A.C.","20-12-22"
"The Recruit: Seizoen 1: Y.D.E.K.W.Y.D.","20-12-22"
"The Recruit: Seizoen 1: N.L.T.S.Y.P.","18-12-22"
"The Recruit: Seizoen 1: I.N.A.S.I.A.L.","18-12-22"
"Top of the Lake: Seizoen 2: The Battle of the Mothers","17-12-22"
"Rambo","16-12-22"
"Gone Baby Gone","16-12-22"
"Top of the Lake: Seizoen 2: Who's Your Daddy?","14-12-22"
"Top of the Lake: Seizoen 2: Birthday","14-12-22"
"The American","14-12-22"
"Top of the Lake: Seizoen 2: Surrogate","13-12-22"
"Top of the Lake: Seizoen 2: The Loved One","13-12-22"
"Top of the Lake: Seizoen 2: China Girl","12-12-22"
"1899: The Pyramid","12-12-22"
"Troll","06-12-22"
"1899: The Calling","05-12-22"
"1899: The Fight","05-12-22"
"1899: The Fog","05-12-22"
"Angel Has Fallen","05-12-22"
"Wild Is the Wind","03-12-22"
"The Office (U.S.): Seizoen 1: Diversity Day","01-12-22"
"The Office (U.S.): Seizoen 1: Pilot","01-12-22"
"1899: The Boy","30-11-22"
"1899: The Ship","30-11-22"
"Inside Man: Aflevering 2","30-11-22"
"Extraordinary Attorney Woo: Alhoewel ongewoon en ongebruikelijk","29-11-22"
"Extraordinary Attorney Woo: Ongevraagde dingen zeggen en doen","29-11-22"
"Extraordinary Attorney Woo: De blauwe nacht van Jeju II","29-11-22"
"Extraordinary Attorney Woo: De blauwe nacht van Jeju I","28-11-22"
"Extraordinary Attorney Woo: Chinese vlagdolfijn","28-11-22"
"Extraordinary Attorney Woo: Mr Zout, Miss Peper En Advocaat Sojasaus","28-11-22"
"Extraordinary Attorney Woo: Handje vasthouden, kan wachten","27-11-22"
"Extraordinary Attorney Woo: De rattenvanger","27-11-22"
"Extraordinary Attorney Woo: Een verhaal over Sodeok-dong II","26-11-22"
"Extraordinary Attorney Woo: Een verhaal over Sodeok-dong I","26-11-22"
"Extraordinary Attorney Woo: Als ik een walvis was…","26-11-22"
"War","26-11-22"
"Extraordinary Attorney Woo: Wildcard versus strateeg","25-11-22"
"Extraordinary Attorney Woo: De strijd tussen drie broers","25-11-22"
"Extraordinary Attorney Woo: Dit is Pengsoo","25-11-22"
"Extraordinary Attorney Woo: De bruidsjurk die afgleedt","22-11-22"
"Extraordinary Attorney Woo: Uitzonderlijke Advocaat Woo","22-11-22"
"Father Stu","17-11-22"
"Inside Man: Aflevering 1","15-11-22"
"The Crown: Seizoen 5: Decommissioned","14-11-22"
"The Crown: Seizoen 5: Couple 31","14-11-22"
"The Crown: Seizoen 5: Gunpowder","13-11-22"
"The Crown: Seizoen 5: No Woman's Land","13-11-22"
"The Crown: Seizoen 5: Ipatiev House","13-11-22"
"The Crown: Seizoen 5: The Way Ahead","13-11-22"
"Enola Holmes 2","12-11-22"
"Enola Holmes","12-11-22"
"The Crown: Seizoen 5: Annus Horribilis","11-11-22"
"The Crown: Seizoen 5: Mou Mou","11-11-22"
"The Crown: Seizoen 5: The System","10-11-22"
"The Crown: Seizoen 5: Queen Victoria Syndrome","10-11-22"
"The Takeover","05-11-22"
"Sue Perkins: Perfectly Legal: Aflevering 2","05-11-22"
"Karppi: Seizoen 3: De ruïnes","05-11-22"
"Karppi: Seizoen 3: USB-stick","05-11-22"
"Karppi: Seizoen 3: De weg","05-11-22"
"Karppi: Seizoen 3: Kansas","05-11-22"
"Karppi: Seizoen 3: Kos","04-11-22"
"Karppi: Seizoen 3: De container","04-11-22"
"Karppi: Seizoen 3: Achterkamer","04-11-22"
"Karppi: Seizoen 3: De kooi","04-11-22"
"Bedrag: Seizoen 3: Aflevering 10","03-11-22"
"Bedrag: Seizoen 3: Aflevering 9","03-11-22"
"Bedrag: Seizoen 3: Aflevering 8","02-11-22"
"Bedrag: Seizoen 3: Aflevering 7","02-11-22"
"Bedrag: Seizoen 3: Aflevering 6","01-11-22"
"Bedrag: Seizoen 3: Aflevering 5","01-11-22"
"Bedrag: Seizoen 3: Aflevering 4","31-10-22"
"Bedrag: Seizoen 3: Aflevering 3","31-10-22"
"Bedrag: Seizoen 3: Aflevering 2","30-10-22"
"Bedrag: Seizoen 3: Aflevering 1","30-10-22"
"Bedrag: Seizoen 2: Aflevering 10","28-10-22"
"Bedrag: Seizoen 2: Aflevering 9","28-10-22"
"Bedrag: Seizoen 2: Aflevering 8","27-10-22"
"Bedrag: Seizoen 2: Aflevering 7","27-10-22"
"Bedrag: Seizoen 2: Aflevering 6","26-10-22"
"Bedrag: Seizoen 2: Aflevering 5","26-10-22"
"Bedrag: Seizoen 2: Aflevering 4","25-10-22"
"Bedrag: Seizoen 2: Aflevering 3","25-10-22"
"Bedrag: Seizoen 2: Aflevering 2","24-10-22"
"Bedrag: Seizoen 2: Aflevering 1","24-10-22"
"Bedrag: Seizoen 1: Aflevering 10","23-10-22"
"Bedrag: Seizoen 1: Aflevering 9","23-10-22"
"Bedrag: Seizoen 1: Aflevering 8","23-10-22"
"Bedrag: Seizoen 1: Aflevering 7","23-10-22"
"Bedrag: Seizoen 1: Aflevering 6","23-10-22"
"Bedrag: Seizoen 1: Aflevering 5","23-10-22"
"Bedrag: Seizoen 1: Aflevering 4","23-10-22"
"Bedrag: Seizoen 1: Aflevering 3","21-10-22"
"Bedrag: Seizoen 1: Aflevering 2","21-10-22"
"Bedrag: Seizoen 1: Aflevering 1","20-10-22"
"Sue Perkins: Perfectly Legal: Aflevering 1","20-10-22"
"Santo: De leugenaar","19-10-22"
"Santo: Schuld","19-10-22"
"Santo: Os Filhos","19-10-22"
"Santo: O Pai","19-10-22"
"Santo: Oogleden","18-10-22"
"Santo: Onzichtbaar","18-10-22"
"Wielka Woda: Aflevering 6","17-10-22"
"Wielka Woda: Aflevering 5","17-10-22"
"Wielka Woda: Aflevering 4","17-10-22"
"Wielka Woda: Aflevering 3","17-10-22"
"Wielka Woda: Aflevering 2","17-10-22"
"Wielka Woda: Aflevering 1","17-10-22"
"The Watcher: Haunting","15-10-22"
"The Watcher: The Gloaming","15-10-22"
"The Watcher: Occam's Razor","15-10-22"
"The Watcher: Someone to Watch Over Me","15-10-22"
"The Watcher: Götterdämmerung","14-10-22"
"The Watcher: Blood Sacrifice","14-10-22"
"The Watcher: Welcome, Friends","14-10-22"
"Frikjent: Seizoen 2: Aflevering 8","12-10-22"
"Frikjent: Seizoen 2: Aflevering 7","12-10-22"
"Frikjent: Seizoen 2: Aflevering 6","12-10-22"
"Frikjent: Seizoen 2: Aflevering 5","11-10-22"
"Frikjent: Seizoen 2: Aflevering 4","11-10-22"
"Frikjent: Seizoen 2: Aflevering 3","11-10-22"
"Frikjent: Seizoen 2: Aflevering 2","08-10-22"
"Frikjent: Seizoen 2: Aflevering 1","08-10-22"
"Frikjent: Seizoen 1: Waarheid","08-10-22"
"Frikjent: Seizoen 1: Oneerlijkheid","08-10-22"
"Frikjent: Seizoen 1: De ontsnapping","08-10-22"
"Frikjent: Seizoen 1: De nederzetting","07-10-22"
"Frikjent: Seizoen 1: Wederopbouw","07-10-22"
"Frikjent: Seizoen 1: Twijfels","07-10-22"
"Frikjent: Seizoen 1: De onthulling","07-10-22"
"Frikjent: Seizoen 1: Onenigheid","06-10-22"
"Frikjent: Seizoen 1: Het gevecht","06-10-22"
"Frikjent: Seizoen 1: Thuiskomst","06-10-22"
"Die Kaiserin: Seizoen 1: De god die men 'vrijheid' noemt","05-10-22"
"Die Kaiserin: Seizoen 1: De schoenen","05-10-22"
"Die Kaiserin: Seizoen 1: De jacht","05-10-22"
"Die Kaiserin: Seizoen 1: De bruiloft","04-10-22"
"Die Kaiserin: Seizoen 1: De aankomst","04-10-22"
"Die Kaiserin: Seizoen 1: Iemands plaats in de wereld","04-10-22"
"Blonde","02-10-22"
"Last Knights","02-10-22"
"Borgen - Power & Glory: Moeder van de zee","30-09-22"
"Borgen - Power & Glory: Zorg dat het verdwijnt","30-09-22"
"Borgen - Power & Glory: Macht in Denemarken","29-09-22"
"Borgen - Power & Glory: Een 'bijna-Arctische staat'","28-09-22"
"Borgen - Power & Glory: Geen commentaar","28-09-22"
"Borgen - Power & Glory: Inuit Nunaat: het land van de mensen","28-09-22"
"Lou","27-09-22"
"Borgen - Power & Glory: Het minste kwaad","26-09-22"
"Borgen - Power & Glory: Vrouwen hebben de toekomst","25-09-22"
"Black Earth Rising: Miniserie: The Forgiving Earth","25-09-22"
"Black Earth Rising: Miniserie: Double Bogey on the Ninth","25-09-22"
"Black Earth Rising: Miniserie: The Game's True Nature","24-09-22"
"Black Earth Rising: Miniserie: The Eyes of the Devil","24-09-22"
"Black Earth Rising: Miniserie: A Bowl of Cornflakes","24-09-22"
"Black Earth Rising: Miniserie: A Ghost in Name","23-09-22"
"Black Earth Rising: Miniserie: Looking at the Past","23-09-22"
"Black Earth Rising: Miniserie: In Other News","23-09-22"
"Onder Vuur: The Dead Do Speak","23-09-22"
"Onder Vuur: Breathless","22-09-22"
"Onder Vuur: Old Habits Die Hard","22-09-22"
"Onder Vuur: Emma","21-09-22"
"Onder Vuur: Between a Rock and a Hard Place","21-09-22"
"Onder Vuur: Eel in the Green","20-09-22"
"Onder Vuur: Between Us","20-09-22"
"Onder Vuur: A Cuckoo in the Nest","20-09-22"
"Onder Vuur: New Blood","20-09-22"
"Onder Vuur: Man Overboard","20-09-22"
"Blacklight","19-09-22"
"Forsvinningen – Lørenskog 31. oktober 2018: Miniserie: De informanten","18-09-22"
"Forsvinningen – Lørenskog 31. oktober 2018: Miniserie: De onderzoekers: Deel 2","18-09-22"
"Forsvinningen – Lørenskog 31. oktober 2018: Miniserie: De advocaten","17-09-22"
"Forsvinningen – Lørenskog 31. oktober 2018: Miniserie: De journalisten","17-09-22"
"Forsvinningen – Lørenskog 31. oktober 2018: Miniserie: De onderzoekers","17-09-22"
"Entrapped: Aflevering 6","17-09-22"
"Entrapped: Aflevering 5","17-09-22"
"Entrapped: Aflevering 4","17-09-22"
"Entrapped: Aflevering 3","17-09-22"
"Entrapped: Aflevering 2","15-09-22"
"Entrapped: Aflevering 1","14-09-22"
"Kleo: De paarse heks","14-09-22"
"Kleo: De snip en de mossel","14-09-22"
"Eye for an Eye","11-09-22"
"Kleo: Project Else","27-08-22"
"Kleo: Uwe","27-08-22"
"Atomic Blonde","26-08-22"
"Kleo: De minister","25-08-22"
"Kleo: Sneeuw in Sóller","25-08-22"
"2 Guns","25-08-22"
"Running with the Devil: The Wild World of John McAfee","25-08-22"
"Kleo: De reünie","24-08-22"
"Kleo: Big Eden","24-08-22"
"Echoes: Miniserie: Birthday","19-08-22"
"Echoes: Miniserie: Home","19-08-22"
"Capitani: Seizoen 2: Jij moet weten wat het beste is","19-08-22"
"Capitani: Seizoen 2: Het lachen zal je vergaan","19-08-22"
"Capitani: Seizoen 2: Je bent alleen","19-08-22"
"Capitani: Seizoen 2: 's Avonds laat","19-08-22"
"Capitani: Seizoen 2: De eerste die valt","19-08-22"
"Capitani: Seizoen 2: Geen tijd te verliezen","17-08-22"
"Capitani: Seizoen 2: Als ik maar was gevlucht","17-08-22"
"Capitani: Seizoen 2: Je laatste gedachte","17-08-22"
"Capitani: Seizoen 2: Tot de eerste op je afkomt","17-08-22"
"Capitani: Seizoen 2: Toeslaan of wegrennen","17-08-22"
"Capitani: Seizoen 2: Er staat iemand op de hoek","16-08-22"
"Capitani: Seizoen 2: In je vizier","16-08-22"
"True Story: Miniserie: Hoofdstuk 1: The King of Comedy","16-08-22"
"Safe House","12-08-22"
"Street Kings","06-08-22"
"The Lincoln Lawyer: Seizoen 1: The Brass Verdict","05-08-22"
"The Lincoln Lawyer: Seizoen 1: The Uncanny Valley","05-08-22"
"The Lincoln Lawyer: Seizoen 1: The Magic Bullet Redux","05-08-22"
"Pipa","04-08-22"
"The Boondock Saints II: All Saints Day","03-08-22"
"The Lincoln Lawyer: Seizoen 1: Lemming Number Seven","02-08-22"
"The Lincoln Lawyer: Seizoen 1: Bent","02-08-22"
"The Lincoln Lawyer: Seizoen 1: Twelve Lemmings in a Box","31-07-22"
"The Lincoln Lawyer: Seizoen 1: Chaos Theory","31-07-22"
"The Lincoln Lawyer: Seizoen 1: Momentum","31-07-22"
"The Lincoln Lawyer: Seizoen 1: The Magic Bullet","31-07-22"
"The Lincoln Lawyer: Seizoen 1: He Rides Again","31-07-22"
"The Gray Man","31-07-22"
"Virgin River: Seizoen 4: The Long Goodbye","26-07-22"
"Virgin River: Seizoen 4: Once Again","25-07-22"
"Virgin River: Seizoen 4: Vuur en regen","25-07-22"
"Beck: Seizoen 8: De gedupeerde","23-07-22"
"Virgin River: Seizoen 4: Bombshells","22-07-22"
"Virgin River: Seizoen 4: Talk to Me","22-07-22"
"Virgin River: Seizoen 4: Otherwise Engaged","22-07-22"
"Virgin River: Seizoen 4: All's Faire...","22-07-22"
"Virgin River: Seizoen 4: Mayday","21-07-22"
"Virgin River: Seizoen 4: Serious As A...","21-07-22"
"Virgin River: Seizoen 4: Grilled","20-07-22"
"Virgin River: Seizoen 4: Father Knows Best...?","20-07-22"
"Virgin River: Seizoen 4: Be My Baby","20-07-22"
"Virgin River: Seizoen 3: A Wedding, No Funeral and a Baby","20-07-22"
"How to Get Away With Murder: Seizoen 2: It's Time to Move On","20-07-22"
"Clickbait: Miniserie: The Answer","19-07-22"
"Clickbait: Miniserie: The Son","19-07-22"
