Title,Date,Type
Santo,2022-10-19,serie
Schlafende Hunde,2023-06-22,serie
Secret City,2020-08-30,serie
Secret in Their Eyes,2020-05-28,movie
Secretariat,2014-08-21,movie
Security,2019-12-21,movie
Sentinelle,2021-03-10,movie
Set Up,2014-03-05,movie
Seven Pounds,2019-07-26,movie
Seven Seconds,2021-11-21,serie
Shadow,2021-07-08,serie
Shadow and Bone,2021-05-01,serie
Shaft,2019-07-12,movie
Shaft,2016-10-27,movie
Shaolin,2019-02-02,movie
Shooter,2017-01-26,serie
Shooter,2013-12-20,movie
Shot Caller,2018-07-22,movie
Signs,2023-06-16,serie
Sinatra,2018-02-04,serie
Six-Pack,2021-09-29,movie
Skiptrace,2020-09-12,movie
Skylines,2020-10-21,serie
Skyscraper,2021-09-21,movie
Sleepers,2018-08-16,movie
Sleepless,2019-05-10,movie
Sleepless in Seattle,2017-07-01,movie
Snabba cash,2023-05-09,serie
Sniper,2021-04-30,serie
Snitch,2015-11-13,movie
Snowglobe,2014-02-21,movie
Snuf de Hond en het Spookslot,2016-02-07,movie
So Undercover,2015-11-19,movie
Somewhere Between,2021-01-27,serie
Sophie,2021-07-08,serie
Sorjonen,2017-04-04,serie
Soul Surfer,2015-08-17,movie
Source Code,2014-05-13,movie
Spenser Confidential,2022-07-08,movie
Spider-Man,2022-02-16,movie
Spider-Man,2022-02-11,serie
Spider-Man 2,2022-02-18,movie
Springvloed,2019-10-06,serie
Standoff,2018-03-17,movie
Stash House,2014-07-06,movie
Stay Close,2022-01-07,serie
Step Up,2018-02-21,movie
Stephen Hawking's Universe,2013-10-13,serie
Steve Jobs,2017-08-12,movie
Sthlm Requiem,2020-10-18,serie
Stranger Things,2021-06-26,serie
Stratton,2019-03-28,movie
Street Kings,2022-08-06,movie
Sue Perkins,2022-11-05,serie
Sugar Mountain,2017-12-16,movie
Super 8,2018-08-13,movie
Super Buddies,2014-02-21,movie
Surrogates,2013-10-20,movie
Survivor,2021-06-02,movie
Sweet Girl,2022-07-06,movie
Sygeplejersken,2023-05-03,serie
Taboo,2022-04-02,serie
Tactical Force,2014-07-20,movie
Taken,2022-07-08,movie
Taken 2,2021-03-12,movie
Taken 3,2023-04-26,movie
Tata Mută Munții,2021-09-27,movie
Tears of the Sun,2016-02-06,movie
Ted,2021-01-25,movie
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2017-05-09,movie
The 13th Warrior,2014-05-31,movie
The A-Team,2016-08-17,movie
The Accountant,2019-04-08,movie
The Amazing Spider-Man,2017-07-07,movie
The American,2022-12-14,movie
The Angel,2018-09-30,movie
The Avengers,2014-04-17,movie
The Big Wedding,2016-04-17,movie
The Blind Side,2017-02-15,movie
The Blue Planet,2018-04-01,serie
The Boondock Saints II,2022-08-03,serie
The Bounty Hunter,2017-07-01,movie
The Bourne Identity,2021-11-17,movie
The Bourne Legacy,2021-11-27,movie
The Bourne Supremacy,2021-11-24,movie
The Bourne Ultimatum,2021-11-26,movie
The Boy Who Harnessed the Wind,2019-03-02,movie
The Bucket List,2019-11-13,movie
The Cell,2019-07-17,movie
The Chronicles of Riddick,2016-10-27,movie
The Cold Light Of Day,2018-04-22,movie
The Company You Keep,2016-12-06,movie
The Condemned,2015-04-02,movie
The Condemned 2,2020-04-03,movie
The Constant Gardener,2018-08-19,movie
The Contractor,2022-05-19,movie
The Courier,2020-08-30,movie
The Crown,2022-11-13,serie
The Crown - Motion Video -  1 loop,2016-10-31,movie
The Crusader,2014-08-09,movie
The Defeated,2023-06-25,serie
The Dig,2021-02-03,movie
The Double,2020-08-23,movie
The Dressmaker,2019-01-20,movie
The Eagle,2016-06-28,movie
The Edge,2015-11-19,movie
The English Game,2021-02-17,serie
The Equalizer,2022-03-04,movie
The Equalizer 2,2022-03-09,movie
The Expatriate,2019-02-03,movie
The Expendables,2014-04-22,movie
The Expendables 3,2019-05-29,movie
The Fall,2021-02-07,serie
The Fast and the Furious,2020-06-02,movie
The Fast and the Furious,2020-05-29,serie
The Foreigner,2020-08-03,movie
The Girl from Oslo,2021-12-23,serie
The Glory,2023-03-17,serie
The Gray Man,2022-07-31,movie
The Greatest Game Ever Played,2015-08-15,movie
The Grey,2019-01-04,movie
The Guilty,2021-10-06,movie
The Happening,2014-03-27,movie
The Hard Way,2019-03-09,movie
The Harder They Fall,2022-01-21,movie
The Highwaymen,2019-03-31,movie
The Hitman’s Bodyguard,2018-08-25,movie
The Hunger Games,2017-07-29,serie
The Hunger Games,2017-07-29,movie
The Hunted,2016-09-30,movie
The Hunters,2014-04-28,movie
The Hurricane Heist,2019-06-09,movie
The Ice Road,2022-03-30,movie
The Iceman,2016-10-23,movie
The Incredible Hulk,2019-04-20,movie
The Informer,2020-09-04,movie
The Innocent,2021-05-05,serie
The Intern,2021-10-08,movie
The International,2018-08-25,movie
The Irishman,2019-12-08,movie
The Karate Kid,2022-12-28,movie
The Keeper,2019-01-03,movie
The Killing,2014-08-06,serie
The Kingdom,2020-10-29,movie
The Lady,2016-06-13,movie
The Last Castle,2020-08-07,movie
The Last Legion,2013-10-17,movie
The Last Stand,2018-12-21,movie
The Laundromat,2019-10-26,movie
The League of Extraordinary Gentlemen,2014-01-21,movie
The Legend is Born,2018-11-29,serie
The Letter for the King (De brief voor de koning),2020-04-02,serie
The Lincoln Lawyer,2022-07-31,serie
The Lord of the Rings,2018-12-10,serie
The Losers,2019-07-23,movie
The Magnificent Seven,2021-08-28,movie
The Marine,2013-11-13,movie
The Mask of Zorro,2021-04-02,movie
The Mauritanian,2022-02-19,movie
The Mechanic,2019-11-27,movie
The Meg,2020-07-01,movie
The Midnight Sky,2020-12-26,movie
The Missing,2020-02-21,serie
The Missing,2022-05-08,movie
The Mother,2023-05-23,movie
The Mule,2020-12-18,movie
The Mummy,2018-12-02,serie
The Natural,2021-12-22,movie
The Net,2018-07-21,movie
The Next Three Days,2020-12-28,movie
The Night Agent,2023-03-24,serie
The Night Comes for Us,2018-10-20,movie
The November Man,2018-10-01,movie
The Office (U.S.),2022-12-01,serie
The Old Guard,2020-07-17,movie
The Other Guys,2014-07-03,movie
The Pale Blue Eye,2023-01-28,movie
The Pledge,2023-01-23,movie
The Power of the Dog,2022-02-16,movie
The Prince,2019-01-02,movie
The Proposal,2016-06-27,movie
The Punisher,2022-07-06,movie
The Pursuit of Happyness,2017-12-25,movie
The Queen's Gambit,2021-01-06,serie
The Recruit,2022-12-20,serie
The Red Sea Diving Resort,2019-08-06,movie
The Rookie,2013-12-11,movie
The Saint,2017-08-27,movie
The Serpent,2021-04-05,serie
The Shack,2019-02-14,movie
The Shawshank Redemption,2020-06-12,movie
The Siege of Jadotville,2017-08-18,movie
The Sinner,2022-01-30,serie
The Snowman,2021-08-01,movie
The Spy,2019-09-10,serie
The Stranger,2023-01-13,serie
The Takeover,2022-11-05,movie
The Talented Mr. Ripley,2016-08-10,movie
The Team,2020-04-07,serie
The Theory of Everything,2018-03-14,movie
The Trip,2021-10-23,movie
The Two Popes,2020-01-25,movie
The Unforgivable,2021-12-13,movie
The Untouchables,2014-04-22,movie
The Vanishing,2013-11-20,movie
The Warriors Gate,2019-10-27,movie
The Watcher,2022-10-14,serie
The Water Diviner,2016-11-28,movie
The Weekend Away,2022-03-08,movie
The Woman in the House Across the Street from the Girl in the Window,2022-04-04,serie
The Woods,2020-06-17,serie
There Will Be Blood,2013-12-07,movie
Thor,2018-09-27,serie
Tokarev,2018-06-08,movie
Tomb Raider,2021-08-27,movie
Top of the Lake,2022-12-14,serie
Totenfrau,2023-01-09,serie
Trapped,2020-02-07,serie
Trash,2016-07-01,movie
Treason,2023-01-10,serie
Triple Frontier,2019-03-15,movie
Troll,2022-12-06,movie
Tropa de Elite 2,2014-04-24,serie
True Grit,2022-07-08,movie
True Story,2022-08-16,serie
Tyrant,2016-06-25,serie
USS Indianapolis,2020-03-08,serie
Unbelievable,2019-12-18,serie
Under Siege 2,2018-02-04,serie
Undercover,2022-03-06,serie
Undercover Grandpa,2018-05-10,movie
Unité 42,2020-06-20,serie
Unorthodox,2020-04-13,serie
"Unsere Mütter, unsere Väter",2013-12-13,serie
Up in the Air,2019-07-26,movie
"Valdez, il mezzosangue",2021-12-12,movie
Vanquish,2021-07-17,movie
Vexed,2021-05-15,serie
Virgin River,2022-07-25,serie
Vorstadtweiber,2017-08-24,serie
Vår tid är nu ,2021-06-06,serie
WWII in Color,2021-12-24,serie
Walk the Line,2014-03-07,movie
Walking Tall,2017-08-14,movie
Wallander,2015-02-17,serie
Wanted,2018-04-22,movie
Wanted,2020-11-01,serie
War,2022-11-26,movie
War Machine,2017-06-15,movie
Warrior,2021-01-15,movie
We Were Soldiers,2019-02-22,movie
Wednesday,2023-01-15,serie
Weissensee,2020-05-02,serie
Welcome to the Jungle,2016-06-29,movie
What Dreams May Come,2014-02-01,movie
When Calls the Heart,2021-03-11,serie
When They See Us,2019-06-15,serie
Where the Crawdads Sing,2023-04-15,movie
Where the Trail Ends,2014-08-22,movie
White Collar,2015-04-27,serie
White House Down,2020-12-16,movie
Wielka Woda,2022-10-17,serie
Wild Card,2021-04-11,movie
Wild Is the Wind,2022-12-03,movie
Wind River,2020-05-31,movie
Windfall,2022-03-22,movie
Wisting,2020-02-25,serie
Wonder Woman,2019-04-27,movie
Xtremo,2021-07-09,movie
Yellowstone,2015-12-25,serie
You May Not Kiss the Bride,2014-07-24,movie
Young Wallander,2020-09-08,serie
Zeit der Geheimnisse,2020-05-07,serie
Zodiac,2019-05-05,movie
Zone Blanche,2022-03-10,serie
xXx,2018-09-29,serie
xXx,2020-08-26,movie
¿Quién mató a Sara?,2021-05-30,serie
葉問3,2018-11-10,movie
